TOTAL CLASSES: 1588

__AbsoluteTimerInstruction  | methods: 
__ACE  | methods: 
__AggregateEvent  | methods: 
__ClassCreationEvent  | methods: 
__ClassDeletionEvent  | methods: 
__ClassModificationEvent  | methods: 
__ClassOperationEvent  | methods: 
__ClassProviderRegistration  | methods: 
__ConsumerFailureEvent  | methods: 
__Event  | methods: 
__EventConsumer  | methods: 
__EventConsumerProviderRegistration  | methods: 
__EventDroppedEvent  | methods: 
__EventFilter  | methods: 
__EventGenerator  | methods: 
__EventProviderRegistration  | methods: 
__EventQueueOverflowEvent  | methods: 
__ExtendedStatus  | methods: 
__ExtrinsicEvent  | methods: 
__FilterToConsumerBinding  | methods: 
__IndicationRelated  | methods: 
__InstanceCreationEvent  | methods: 
__InstanceDeletionEvent  | methods: 
__InstanceModificationEvent  | methods: 
__InstanceOperationEvent  | methods: 
__InstanceProviderRegistration  | methods: 
__IntervalTimerInstruction  | methods: 
__MethodInvocationEvent  | methods: 
__MethodProviderRegistration  | methods: 
__NAMESPACE  | methods: 
__NamespaceCreationEvent  | methods: 
__NamespaceDeletionEvent  | methods: 
__NamespaceModificationEvent  | methods: 
__NamespaceOperationEvent  | methods: 
__NotifyStatus  | methods: 
__NTLMUser9X  | methods: 
__ObjectProviderRegistration  | methods: 
__PARAMETERS  | methods: 
__PropertyProviderRegistration  | methods: 
__Provider  | methods: 
__ProviderRegistration  | methods: 
__QOSFailureEvent  | methods: 
__SecurityDescriptor  | methods: 
__SecurityRelatedClass  | methods: 
__SystemClass  | methods: 
__SystemEvent  | methods: 
__SystemSecurity  | methods: GetSD,GetSecurityDescriptor,Get9XUserList,SetSD,SetSecurityDescriptor,Set9XUserList,GetCallerAccessRights
__thisNAMESPACE  | methods: 
__TimerEvent  | methods: 
__TimerInstruction  | methods: 
__TimerNextFiring  | methods: 
__Trustee  | methods: 
__Win32Provider  | methods: 
AcpiControlStatus  | methods: 
AcpiGenAddr  | methods: 
AcpiPct  | methods: 
AcpiPss  | methods: 
AcpiPssState  | methods: 
ACPITrace  | methods: 
ActivityTransfer  | methods: 
AllocateSegment  | methods: 
AllocationTick  | methods: 
ALPC  | methods: 
ALPC_Receive_Message  | methods: 
ALPC_Send_Message  | methods: 
ALPC_Unwait  | methods: 
ALPC_Wait_For_New_Message  | methods: 
ALPC_Wait_For_Reply  | methods: 
AMD_ACPI  | methods: QueryVersion,Init,GetObjectID,Getdvalues,RunCommand,GetMinMaxSteppingValues,GetDimmSpdData,GetObjectID2,GetRmpData
AMLIEvalData1  | methods: 
AMLIEvalData1_TypeGroup1  | methods: 
AntiStarvationBoost  | methods: 
AtaportGuid  | methods: 
AuthenticodeVerification  | methods: 
AUTHFWCFG  | methods: 
AutoBoostClearFloor  | methods: 
AutoBoostEntryExhaustion  | methods: 
AutoBoostSetFloor  | methods: 
BatteryCycleCount  | methods: 
BatteryFullChargedCapacity  | methods: 
BatteryRuntime  | methods: 
BatteryStaticData  | methods: 
BatteryStatus  | methods: 
BatteryStatusChange  | methods: 
BatteryTagChange  | methods: 
BatteryTemperature  | methods: 
BcdBooleanElement  | methods: 
BcdDeviceData  | methods: 
BcdDeviceElement  | methods: 
BcdDeviceFileData  | methods: 
BcdDeviceLocateData  | methods: 
BcdDeviceLocateElementChildData  | methods: 
BcdDeviceLocateElementData  | methods: 
BcdDeviceLocateStringData  | methods: 
BcdDevicePartitionData  | methods: 
BcdDeviceQualifiedPartitionData  | methods: 
BcdDeviceUnknownData  | methods: 
BcdElement  | methods: 
BcdIntegerElement  | methods: 
BcdIntegerListElement  | methods: 
BcdObject  | methods: EnumerateElementTypes,EnumerateElements,GetElement,GetElementWithFlags,SetDeviceElement,SetPartitionDeviceElement,SetPartitionDeviceElementWithFlags,SetFileDeviceElement,SetQualifiedPartitionDeviceElement,SetVhdDeviceElement,SetStringElement,SetObjectElement,SetObjectListElement,SetIntegerElement,SetIntegerListElement,SetBooleanElement,DeleteElement
BcdObjectElement  | methods: 
BcdObjectListElement  | methods: 
BcdStore  | methods: OpenStore,ImportStore,ImportStoreWithFlags,ExportStore,CreateStore,DeleteSystemStore,GetSystemDisk,GetSystemPartition,SetSystemStoreDevice,EnumerateObjects,OpenObject,CreateObject,DeleteObject,CopyObject,CopyObjects
BcdStringElement  | methods: 
